,Unnamed: 0,price,bedrooms,bathrooms,sqft_living,sqft_lot,waterfront,condition,grade,sqft_above,lat,long,basement,renovated,floor_1.5,floor_2.0,floor_2.5,floor_3.0,floor_3.5
69,71,325000.0,3.0,2.0,1260,5612,0.0,4,7,1260,47.7362,-122.179,0,0,0,0,0,0,0
70,72,571000.0,4.0,2.0,2750,7807,0.0,5,7,2250,47.7168,-122.287,1,0,1,0,0,0,0
71,73,360000.0,4.0,2.5,2380,5000,0.0,3,8,2380,47.3608,-122.036,0,0,0,1,0,0,0
74,76,380000.0,4.0,2.0,1760,7300,0.0,3,7,880,47.6034,-122.125,1,0,0,0,0,0,0
75,77,480000.0,3.0,1.0,1040,5060,0.0,3,7,1040,47.5636,-122.394,0,0,0,0,0,0,0
76,78,410000.0,3.0,1.0,1410,5060,0.0,4,7,910,47.7073,-122.34,1,0,0,0,0,0,0
78,80,390000.0,3.0,2.5,2350,5100,0.0,3,8,2350,47.3512,-122.008,0,0,0,1,0,0,0
79,81,360000.0,4.0,2.5,1900,5889,0.0,3,7,1900,47.349,-122.031,0,0,0,1,0,0,0
80,82,355000.0,2.0,1.0,2020,6720,0.0,3,7,1010,47.5474,-122.291,1,0,0,0,0,0,0
81,83,356000.0,3.0,1.5,1680,8712,0.0,3,8,1680,47.4811,-122.149,0,0,0,0,0,0,0
82,84,315000.0,3.0,1.0,960,6634,0.0,3,6,960,47.7264,-122.31,0,0,0,0,0,0,0
83,85,940000.0,3.0,1.5,2140,3600,0.0,3,9,1900,47.6337,-122.365,1,0,0,1,0,0,0
84,86,305000.0,5.0,2.5,2660,8400,0.0,5,7,2660,47.2909,-122.189,0,0,1,0,0,0,0
85,87,461000.0,3.0,3.5,2770,6278,0.0,3,9,1980,47.5228,-122.199,1,0,0,1,0,0,0
86,88,215000.0,2.0,2.5,1610,2040,0.0,4,7,1610,47.518,-122.194,0,0,0,1,0,0,0
87,89,335000.0,2.0,2.0,1030,1066,0.0,3,7,765,47.5394,-122.387,1,0,0,1,0,0,0
88,90,243500.0,4.0,2.5,1980,7403,0.0,3,7,1980,47.2897,-122.372,0,0,0,1,0,0,0
90,92,153000.0,3.0,1.0,1200,10500,0.0,3,7,1200,47.322,-122.351,0,0,0,0,0,0,0
91,93,430000.0,3.0,1.5,1580,5000,0.0,3,8,1290,47.687,-122.386,1,0,0,0,0,0,0
92,95,905000.0,4.0,2.5,3300,10250,0.0,3,7,2390,47.5873,-122.249,1,1,0,0,0,0,0
93,96,247500.0,3.0,2.0,1960,15681,0.0,3,7,1960,47.3576,-122.277,0,0,0,0,0,0,0
94,97,199000.0,4.0,1.5,1160,6400,0.0,4,7,1160,47.3036,-122.378,0,0,0,0,0,0,0
97,100,850830.0,3.0,2.5,2070,13241,0.0,5,9,1270,47.6415,-122.315,1,0,1,0,0,0,0
98,101,555000.0,3.0,2.0,1980,3478,0.0,4,7,1440,47.6775,-122.372,1,0,1,0,0,0,0
102,106,460000.0,3.0,1.0,1670,4005,0.0,4,7,1170,47.6878,-122.38,1,0,1,0,0,0,0
103,107,188500.0,2.0,2.0,1240,2493,0.0,4,8,1240,47.3813,-122.322,0,0,0,0,0,0,0
105,109,470000.0,5.0,2.0,2030,12342,0.0,4,7,2030,47.6417,-122.109,0,0,0,1,0,0,0
106,110,597750.0,4.0,2.5,2310,9624,0.0,3,8,2310,47.5386,-122.053,0,0,0,1,0,0,0
107,111,570000.0,3.0,2.0,1260,3328,0.0,5,6,700,47.6823,-122.349,1,0,0,0,0,0,0
108,112,272500.0,3.0,2.0,1540,12600,0.0,4,7,1160,47.3624,-122.031,0,0,0,0,0,0,0
109,113,329950.0,3.0,2.0,2080,5969,0.0,3,7,1080,47.5474,-122.295,1,0,0,0,0,0,0
111,116,518500.0,3.0,3.5,1590,1102,0.0,3,8,1590,47.6824,-122.347,0,0,0,0,0,1,0
112,117,205425.0,2.0,1.0,880,6780,0.0,4,6,880,47.5009,-122.248,0,0,0,0,0,0,0
113,118,171800.0,4.0,2.0,1570,9600,0.0,3,6,1570,47.4965,-122.303,0,0,0,0,0,0,0
114,119,535000.0,4.0,1.0,1610,2982,0.0,4,7,1610,47.587,-122.294,0,0,1,0,0,0,0
115,120,660000.0,3.0,2.5,2400,6474,0.0,3,8,1560,47.7728,-122.386,1,0,0,0,0,0,0
116,121,391500.0,3.0,2.0,1450,9132,0.0,3,7,1450,47.7288,-122.226,0,0,0,0,0,0,0
117,122,395000.0,2.0,1.0,770,6000,0.0,3,6,770,47.6999,-122.364,0,0,0,0,0,0,0
118,123,445000.0,4.0,2.0,2100,4400,0.0,5,7,1720,47.5299,-122.266,1,0,1,0,0,0,0
119,124,770000.0,3.0,2.5,2910,10204,0.0,3,9,2910,47.6897,-122.098,0,0,0,1,0,0,0
121,126,445000.0,3.0,2.5,2100,8201,0.0,3,8,1620,47.5091,-122.244,1,0,0,0,0,0,0
122,127,260000.0,4.0,2.5,2160,8811,0.0,3,8,1360,47.3129,-122.39,1,0,0,0,0,0,0
123,128,822500.0,5.0,3.5,2320,4960,0.0,5,7,1720,47.6763,-122.352,1,0,0,1,0,0,0
124,129,430000.0,4.0,2.5,2070,4310,0.0,3,7,2070,47.5319,-121.85,0,0,0,1,0,0,0
125,130,212000.0,3.0,2.0,1060,7875,0.0,4,7,1060,47.2761,-122.152,0,0,0,0,0,0,0
126,131,660500.0,4.0,2.5,2010,9603,0.0,3,8,1440,47.5343,-122.054,1,0,0,0,0,0,0
128,133,453246.0,3.0,2.5,2010,2287,0.0,3,8,1390,47.5517,-121.998,1,0,0,1,0,0,0
129,134,675000.0,4.0,3.5,2140,2278,0.0,3,9,2140,47.6734,-122.38,0,0,0,0,0,1,0
131,136,220000.0,4.0,2.0,2020,7840,0.0,3,7,1010,47.3309,-122.299,1,0,0,0,0,0,0
132,137,452000.0,4.0,2.5,2590,10002,0.0,4,8,1340,47.7689,-122.266,1,0,0,0,0,0,0
133,138,382500.0,2.0,1.0,1190,4440,0.0,3,6,1190,47.7135,-122.287,0,0,0,0,0,0,0
134,139,519950.0,3.0,2.5,1170,1249,0.0,3,8,1170,47.6722,-122.381,0,0,0,0,0,1,0
135,140,665000.0,2.0,1.0,1110,3200,0.0,3,7,1110,47.6338,-122.358,0,0,0,0,0,0,0
136,141,527700.0,5.0,2.5,2820,9375,0.0,4,8,1550,47.5707,-122.128,1,0,0,0,0,0,0
137,142,205000.0,3.0,1.0,1610,8579,0.0,4,7,1010,47.4563,-122.171,1,0,0,0,0,0,0
138,143,420000.0,3.0,1.0,1060,8097,0.0,4,7,940,47.7144,-122.351,1,0,0,0,0,0,0
139,144,500000.0,4.0,2.5,2030,8517,0.0,4,8,1380,47.5495,-122.174,1,0,0,0,0,0,0
141,146,890000.0,4.0,1.0,2550,4000,0.0,3,8,2370,47.6354,-122.353,1,0,0,1,0,0,0
143,148,258000.0,5.0,2.0,2260,12500,0.0,4,8,1130,47.3887,-122.286,1,0,0,0,0,0,0
144,149,511000.0,3.0,1.0,1430,3455,0.0,3,7,980,47.6873,-122.336,1,0,0,0,0,0,0
145,150,532170.0,3.0,2.0,1360,3090,0.0,3,8,1360,47.6838,-122.353,0,0,0,1,0,0,0
146,151,560000.0,3.0,1.0,1110,5000,0.0,3,7,1110,47.655,-122.359,0,0,1,0,0,0,0
147,152,282950.0,3.0,1.0,1250,8200,0.0,4,7,1250,47.3255,-122.304,0,0,0,0,0,0,0
150,155,215000.0,3.0,1.0,1180,7669,0.0,4,7,1180,47.4479,-122.176,0,0,0,0,0,0,0
152,157,320000.0,4.0,3.0,2640,7500,0.0,3,8,1620,47.3135,-122.369,1,0,0,0,0,0,0
153,158,247000.0,3.0,2.0,1270,7198,0.0,3,7,1270,47.2086,-121.996,0,1,1,0,0,0,0
154,159,320000.0,4.0,2.0,1760,11180,0.0,4,8,1760,47.4715,-122.118,0,0,0,0,0,0,0
155,160,255000.0,5.0,2.5,2060,8632,0.0,3,7,1030,47.4877,-122.335,1,0,0,0,0,0,0
156,161,438000.0,3.0,2.0,1780,9660,0.0,3,7,1780,47.7171,-122.193,0,0,0,0,0,0,0
158,163,441000.0,3.0,3.0,1910,7280,0.0,3,7,1160,47.7319,-122.224,1,0,0,0,0,0,0
160,165,370000.0,3.0,2.0,1580,7000,0.0,3,7,1180,47.7209,-122.168,1,0,0,0,0,0,0
162,167,807100.0,4.0,2.5,2680,4499,0.0,3,9,2680,47.565,-122.125,0,0,0,1,0,0,0
163,168,653000.0,3.0,2.5,2680,9750,0.0,4,8,1610,47.7028,-122.231,1,0,0,0,0,0,0
164,169,371500.0,3.0,2.0,1370,8336,0.0,5,7,1370,47.7458,-122.331,0,0,0,0,0,0,0
166,171,272000.0,3.0,2.0,2160,7140,0.0,4,7,1670,47.3026,-122.374,1,0,0,0,0,0,0
167,172,313000.0,3.0,1.5,1340,7912,0.0,3,7,1340,47.7658,-122.339,0,0,1,0,0,0,0
169,174,673000.0,4.0,2.5,2590,8190,0.0,4,8,2590,47.5619,-122.125,0,0,0,1,0,0,0
170,175,425000.0,3.0,2.5,1120,1100,0.0,3,8,820,47.6106,-122.31,1,0,0,1,0,0,0
171,176,399950.0,5.0,3.0,1970,5400,0.0,3,7,1320,47.5868,-122.308,1,0,0,0,0,0,0
172,177,385000.0,3.0,1.0,1220,4800,0.0,3,6,1220,47.6101,-122.307,0,0,0,0,0,0,0
173,178,269950.0,3.0,1.5,1950,7560,0.0,4,7,1320,47.1976,-121.999,1,0,0,0,0,0,0
174,179,330000.0,2.0,1.0,1350,8220,0.0,3,7,1060,47.7224,-122.358,1,0,0,0,0,0,0
175,180,260000.0,3.0,2.5,1670,5797,0.0,3,7,1670,47.3505,-122.179,0,0,0,1,0,0,0
176,181,470000.0,4.0,3.0,2380,5125,0.0,4,7,1680,47.5384,-122.376,1,0,1,0,0,0,0
177,183,163500.0,2.0,1.5,1050,3419,0.0,3,7,1050,47.3848,-122.039,0,0,0,1,0,0,0
178,184,835000.0,4.0,3.0,3130,13412,0.0,3,9,2140,47.6993,-122.102,1,0,0,1,0,0,0
180,186,269000.0,4.0,2.0,1490,10000,0.0,4,8,1100,47.3099,-122.379,1,0,0,0,0,0,0
181,187,560000.0,3.0,2.5,1900,8744,0.0,3,8,1900,47.62,-122.043,0,0,0,1,0,0,0
182,189,585188.0,3.0,2.5,2230,10026,0.0,3,8,1430,47.6647,-122.153,1,0,0,0,0,0,0
183,190,305000.0,3.0,2.0,1650,9480,0.0,3,7,1220,47.726000000000006,-122.191,1,0,0,0,0,0,0
184,191,166950.0,3.0,1.0,1190,8820,0.0,3,6,1190,47.4616,-122.184,0,0,0,0,0,0,0
185,192,799000.0,3.0,2.5,2140,9897,0.0,4,8,2140,47.5505,-122.219,0,0,0,0,0,0,0
186,193,400000.0,3.0,2.5,2180,7508,0.0,4,7,1420,47.7606,-122.336,1,0,0,0,0,0,0
187,194,230000.0,3.0,1.0,1060,10228,0.0,3,7,1060,47.7481,-122.3,0,0,0,0,0,0,0
188,195,256883.0,3.0,2.5,1690,5025,0.0,3,8,1690,47.2779,-122.347,0,0,0,1,0,0,0
189,196,423000.0,4.0,2.0,1970,6480,0.0,5,7,1130,47.5511,-122.312,1,0,1,0,0,0,0
190,197,465000.0,3.0,2.5,2150,4084,0.0,3,8,2150,47.5488,-122.372,0,0,0,1,0,0,0
193,200,210000.0,3.0,1.0,860,11725,0.0,4,6,860,47.5093,-122.184,0,0,0,0,0,0,0
194,201,297000.0,3.0,2.5,1940,14952,0.0,3,8,1940,47.3777,-122.165,0,0,0,1,0,0,0
195,202,470000.0,3.0,1.0,1010,5000,0.0,3,7,1010,47.675,-122.394,0,0,0,0,0,0,0
196,203,226500.0,3.0,1.5,1300,7370,0.0,4,7,900,47.3025,-122.37,1,0,0,0,0,0,0
197,204,274250.0,3.0,1.0,910,8450,0.0,4,6,910,47.4787,-122.158,0,0,0,0,0,0,0
198,206,677900.0,3.0,2.5,2440,4587,0.0,3,8,2440,47.7073,-122.114,0,0,0,1,0,0,0
199,207,425000.0,3.0,1.0,1010,5864,0.0,3,7,1010,47.5733,-122.381,0,0,0,0,0,0,0
200,208,180250.0,2.0,1.0,900,9600,0.0,3,6,900,47.4604,-122.339,0,0,0,0,0,0,0
202,210,320000.0,4.0,2.5,1550,7579,0.0,3,8,1550,47.354,-122.047,0,0,0,1,0,0,0
203,211,625504.0,3.0,2.5,1270,1566,0.0,3,8,1060,47.6647,-122.284,1,0,0,1,0,0,0
204,212,592500.0,4.0,2.5,2240,12032,0.0,3,9,2240,47.6143,-122.017,0,0,0,0,0,0,0
206,214,477000.0,4.0,3.0,1720,6270,0.0,3,8,1720,47.5458,-122.268,0,0,0,1,0,0,0
209,217,445838.0,3.0,2.5,2250,5692,0.0,3,8,2250,47.5133,-122.379,0,0,0,1,0,0,0
211,219,467000.0,2.0,1.5,1320,10800,0.0,4,8,1320,47.7145,-122.367,0,0,0,0,0,0,0
213,221,279950.0,3.0,2.0,1750,9750,0.0,3,7,1350,47.398,-122.299,1,0,0,0,0,0,0
216,224,328000.0,3.0,2.5,2020,8379,0.0,3,7,2020,47.3828,-122.023,0,0,0,1,0,0,0
217,225,390000.0,3.0,2.5,1250,7500,0.0,5,7,1250,47.5123,-122.373,0,0,0,0,0,0,0
218,226,479950.0,2.0,2.0,1510,6516,0.0,3,8,1510,47.7076,-122.013,0,0,0,0,0,0,0
219,227,264950.0,4.0,2.5,1720,9753,0.0,4,7,1120,47.2922,-122.371,1,0,0,0,0,0,0
220,228,235000.0,3.0,1.0,1430,15246,0.0,4,7,980,47.4075,-122.214,1,0,0,0,0,0,0
221,229,516500.0,3.0,2.5,1480,4729,0.0,3,7,1480,47.6794,-122.034,0,0,0,1,0,0,0
222,230,655000.0,2.0,2.0,1450,15798,1.0,3,7,1230,47.4497,-122.375,1,1,0,1,0,0,0
223,231,500000.0,4.0,3.0,2280,15347,0.0,5,7,2280,47.5218,-122.164,0,0,0,0,0,0,0
225,233,213000.0,2.0,1.0,1000,10200,0.0,3,6,1000,47.5687,-121.899,0,0,0,0,0,0,0
226,234,475000.0,3.0,1.5,2480,5280,0.0,5,7,1620,47.5575,-122.303,1,0,1,0,0,0,0
229,237,410000.0,4.0,1.0,1970,4740,0.0,3,7,1670,47.6136,-122.303,1,1,1,0,0,0,0
232,240,225000.0,3.0,2.0,1430,8505,0.0,4,7,1430,47.3173,-122.319,0,0,0,0,0,0,0
233,241,210000.0,2.0,1.0,830,6000,0.0,3,6,830,47.5308,-122.376,0,0,0,0,0,0,0
234,242,455000.0,2.0,1.0,1430,5000,0.0,2,7,1430,47.6727,-122.299,0,0,1,0,0,0,0
235,243,225000.0,3.0,1.0,1300,8316,0.0,4,6,1300,47.3221,-122.216,0,0,0,0,0,0,0
236,244,480000.0,2.0,1.0,1030,3060,0.0,4,7,790,47.6779,-122.353,1,0,0,0,0,0,0
237,245,363000.0,3.0,2.5,2740,11872,0.0,3,9,2740,47.3076,-122.395,0,0,0,1,0,0,0
239,247,181000.0,2.0,1.5,720,5120,0.0,3,6,720,47.5218,-122.357,0,0,0,0,0,0,0
240,248,250000.0,4.0,2.0,2010,7312,0.0,4,7,2010,47.2785,-122.213,0,0,0,0,0,0,0
241,249,481000.0,3.0,2.0,1560,3000,0.0,4,6,770,47.6846,-122.345,1,0,0,0,0,0,0
242,250,260000.0,3.0,2.0,1810,7209,0.0,4,7,1240,47.3656,-122.278,1,0,0,0,0,0,0
243,251,455000.0,4.0,2.5,3360,7685,0.0,3,9,3360,47.4369,-122.111,0,0,0,1,0,0,0
245,253,349500.0,3.0,1.0,1400,3538,0.0,3,7,800,47.5405,-122.27,1,0,0,0,0,0,0
246,254,245000.0,3.0,2.5,1730,7442,0.0,3,7,1730,47.3507,-122.178,0,0,0,1,0,0,0
247,255,592500.0,2.0,2.0,1420,9191,0.0,5,7,1420,47.6979,-122.32,0,0,1,0,0,0,0
248,256,385000.0,4.0,2.0,2360,7620,0.0,4,7,1180,47.5278,-122.345,1,0,0,0,0,0,0
249,257,315000.0,3.0,2.0,1580,11455,0.0,4,7,1200,47.4756,-122.147,1,0,0,0,0,0,0
250,258,255000.0,3.0,1.0,1230,10170,0.0,3,7,1230,47.4437,-121.772,0,0,0,0,0,0,0
251,259,693000.0,4.0,2.5,2460,4425,0.0,3,8,2460,47.7048,-122.109,0,0,0,1,0,0,0
252,260,780000.0,3.0,1.0,1660,4400,0.0,3,8,1460,47.6362,-122.302,1,0,1,0,0,0,0
253,261,237000.0,3.0,2.0,1270,8470,0.0,4,7,1270,47.4207,-122.29,0,0,0,0,0,0,0
257,265,290000.0,4.0,2.5,1700,7280,0.0,4,7,1700,47.4045,-122.171,0,0,0,1,0,0,0
258,266,285000.0,3.0,1.0,1120,10701,0.0,3,7,1120,47.5544,-122.358,0,0,0,0,0,0,0
259,267,415000.0,2.0,1.0,1070,4500,0.0,3,7,1070,47.6802,-122.29,0,0,0,0,0,0,0
260,268,272500.0,3.0,2.5,2070,9900,0.0,3,8,1420,47.2988,-122.371,1,0,0,0,0,0,0
263,271,436000.0,2.0,1.0,1040,7538,0.0,4,7,1040,47.7107,-122.352,0,0,0,0,0,0,0
264,272,210000.0,3.0,1.0,1700,11390,0.0,4,7,1700,47.3271,-122.323,0,0,0,0,0,0,0
265,274,331000.0,3.0,2.0,1080,1306,0.0,3,7,580,47.6601,-122.4,1,1,0,0,0,0,0
266,275,365000.0,3.0,2.5,2653,4510,0.0,3,8,2653,47.4145,-122.166,0,0,0,1,0,0,0
270,279,405000.0,3.0,2.0,2390,6000,0.0,3,6,1240,47.5362,-122.268,1,0,0,0,0,0,0
271,280,304900.0,4.0,2.0,2600,11325,0.0,4,7,1610,47.3954,-122.206,1,0,0,0,0,0,0
272,281,170000.0,2.0,1.0,860,5265,0.0,3,6,860,47.5048,-122.272,0,0,0,0,0,0,0
274,283,780000.0,4.0,2.5,3500,7048,0.0,3,9,3500,47.6811,-122.025,0,0,0,1,0,0,0
275,284,330000.0,3.0,3.0,2420,13959,0.0,4,8,1740,47.7486,-122.23,1,0,0,0,0,0,0
276,285,370000.0,4.0,2.5,2720,8666,0.0,3,9,2720,47.3846,-122.169,0,0,0,1,0,0,0
277,286,467000.0,5.0,2.5,2500,13500,0.0,3,7,1850,47.7564,-122.144,1,0,0,0,0,0,0
278,288,675000.0,5.0,2.5,2900,10300,0.0,3,8,1450,47.5461,-122.151,1,0,0,0,0,0,0
279,289,500000.0,2.0,1.0,1640,14100,0.0,4,7,1140,47.5712,-122.143,1,0,0,0,0,0,0
280,290,389999.0,4.0,2.5,1890,15770,0.0,4,7,1890,47.4281,-122.343,0,0,0,1,0,0,0
281,291,630000.0,4.0,2.0,2950,9025,0.0,4,8,1780,47.7128,-122.223,1,0,0,0,0,0,0
282,292,360000.0,4.0,2.5,2160,9528,0.0,3,9,2160,47.3341,-122.255,0,0,0,1,0,0,0
283,293,580000.0,4.0,3.0,3280,11060,0.0,3,8,2270,47.5399,-122.181,1,0,0,1,0,0,0
284,294,550000.0,3.0,2.0,1970,4166,0.0,5,8,1270,47.5717,-122.375,1,0,0,1,0,0,0
286,296,265000.0,3.0,2.0,1320,8959,0.0,3,7,1320,47.3536,-122.144,0,0,0,0,0,0,0
287,297,446500.0,3.0,2.5,2650,7286,0.0,3,8,2650,47.5084,-122.154,0,0,0,1,0,0,0
288,298,404000.0,3.0,1.5,2030,8880,0.0,3,7,1330,47.5586,-122.311,1,0,0,0,0,0,0
289,299,267500.0,3.0,2.0,1590,11914,0.0,3,7,1090,47.4427,-122.274,1,0,0,0,0,0,0
291,301,335000.0,3.0,2.5,2440,7632,0.0,3,8,2440,47.3494,-122.301,0,0,0,1,0,0,0
292,302,576000.0,3.0,2.5,1940,9000,0.0,4,7,970,47.6933,-122.393,1,0,0,0,0,0,0
293,303,208633.0,3.0,2.5,2040,3810,0.0,3,8,2040,47.3537,-122.0,0,0,0,1,0,0,0
294,304,315000.0,3.0,2.5,2200,8750,0.0,4,7,1120,47.476000000000006,-122.337,1,0,0,0,0,0,0
295,305,725000.0,3.0,2.0,1920,3300,0.0,4,8,960,47.6239,-122.298,1,0,0,0,0,0,0
296,306,550000.0,4.0,3.0,1800,7750,0.0,4,8,1400,47.7776,-122.384,1,0,0,0,0,0,0
297,307,610750.0,4.0,2.5,2180,7297,0.0,3,8,2180,47.6459,-122.058,0,0,0,1,0,0,0
298,308,550700.0,2.0,1.0,1010,5000,0.0,4,6,1010,47.6692,-122.297,0,0,1,0,0,0,0
299,310,834000.0,4.0,2.5,2370,4000,0.0,5,8,1980,47.601000000000006,-122.294,1,0,1,0,0,0,0
303,315,305000.0,4.0,2.5,1950,7700,0.0,3,8,1350,47.4441,-122.125,1,0,0,0,0,0,0
304,316,487000.0,3.0,2.0,2590,14052,0.0,5,8,1720,47.7357,-122.333,1,0,0,0,0,0,0
