,price,bedrooms,bathrooms,sqft_living,sqft_lot,waterfront,view,condition,grade,yr_built,zipcode,lat,long,sqft_living15,sqft_lot15,basement,renovated,distance_from_bellevue,floor_1_5,floor_2_0,floor_2_5,floor_3_0,floor_3_5
14,530000.0,5,2.0,1810,4850,0.0,0.0,3,7,1900,98107,47.67,-122.394,1360,4850,0,0,9.615122034591788,1,0,0,0,0
15,650000.0,4,3.0,2950,5000,0.0,3.0,3,9,1979,98126,47.5714,-122.375,2140,4000,1,0,8.535312052161807,0,1,0,0,0
16,395000.0,3,2.0,1890,14040,0.0,0.0,3,7,1994,98019,47.7277,-121.962,1890,14018,0,0,13.664995250053215,0,1,0,0,0
17,485000.0,4,1.0,1600,4300,0.0,0.0,4,7,1916,98103,47.6648,-122.343,1610,4300,0,0,7.314480856876402,1,0,0,0,0
18,189000.0,2,1.0,1200,9850,0.0,0.0,4,7,1921,98002,47.3089,-122.21,1060,5095,0,0,21.18940053897866,0,0,0,0,0
19,230000.0,3,1.0,1250,9774,0.0,0.0,4,7,1969,98003,47.3343,-122.306,1280,8850,0,0,20.008734832374202,0,0,0,0,0
20,385000.0,4,2.0,1620,4980,0.0,0.0,4,7,1947,98133,47.7025,-122.341,1400,4980,1,0,8.762871998460247,0,0,0,0,0
22,285000.0,5,2.5,2270,6300,0.0,0.0,3,8,1995,98092,47.3266,-122.169,2240,7005,0,0,20.03104799615068,0,1,0,0,0
23,329000.0,3,2.5,2450,6500,0.0,0.0,4,8,1985,98030,47.3739,-122.172,2200,6865,0,0,16.762789117579104,0,1,0,0,0
24,233000.0,3,2.0,1710,4697,0.0,0.0,5,6,1941,98002,47.3048,-122.218,1030,4705,0,0,21.48085220679669,1,0,0,0,0
25,937000.0,3,2.0,2450,2691,0.0,0.0,3,8,1915,98119,47.6386,-122.36,1760,3573,1,0,7.440424201228941,0,1,0,0,0
26,667000.0,3,1.0,1400,1581,0.0,0.0,5,8,1909,98112,47.6221,-122.314,1860,3861,0,0,5.146701503005207,1,0,0,0,0
27,438000.0,3,2.0,1520,6380,0.0,0.0,3,7,1948,98115,47.695,-122.304,1520,6235,1,0,7.199252940950538,0,0,0,0,0
28,719000.0,4,2.5,2570,7173,0.0,0.0,3,8,2005,98052,47.7073,-122.11,2630,6026,0,0,7.699931055680439,0,1,0,0,0
29,580500.0,3,2.5,2320,3980,0.0,0.0,3,8,2003,98027,47.5391,-122.07,2580,3980,0,0,8.177059173506644,0,1,0,0,0
30,280000.0,2,1.5,1190,1265,0.0,0.0,3,7,2005,98133,47.7274,-122.357,1390,1756,0,0,10.509497269386577,0,0,0,1,0
31,687500.0,4,2.0,2330,5000,0.0,0.0,4,7,1929,98117,47.6823,-122.368,1460,5000,1,0,8.921821637507346,1,0,0,0,0
32,535000.0,3,1.0,1090,3000,0.0,0.0,4,8,1929,98117,47.6889,-122.375,1570,5080,0,0,9.438649737690302,1,0,0,0,0
33,322500.0,4,3.0,2060,6659,0.0,0.0,3,7,1981,98058,47.4276,-122.157,2020,8720,1,0,13.169354330254455,0,0,0,0,0
34,696000.0,3,2.5,2300,3060,0.0,0.0,3,8,1930,98115,47.6827,-122.31,1590,3264,1,1,6.775402241777838,1,0,0,0,0
36,640000.0,4,2.0,2360,6000,0.0,0.0,4,8,1904,98107,47.6702,-122.362,1730,4700,0,0,8.27109546826631,0,1,0,0,0
37,240000.0,4,1.0,1220,8075,0.0,0.0,2,7,1969,98001,47.3341,-122.282,1290,7800,1,0,19.785261909601473,0,0,0,0,0
38,605000.0,4,2.5,2620,7553,0.0,0.0,3,8,1996,98056,47.5301,-122.18,2620,11884,0,0,6.008397804952377,0,1,0,0,0
39,775000.0,4,2.5,4220,24186,0.0,0.0,3,8,1984,98166,47.445,-122.347,2410,30617,1,0,13.543070698678688,0,0,0,0,0
40,861990.0,5,3.0,3595,5639,0.0,0.0,3,9,2014,98053,47.6848,-122.016,3625,5639,0,0,9.969923646668729,0,1,0,0,0
41,685000.0,3,1.0,1570,2280,0.0,0.0,3,7,1922,98119,47.6413,-122.364,1580,2640,0,0,7.663436143809603,0,1,0,0,0
42,309000.0,3,1.0,1280,9656,0.0,0.0,4,6,1959,98058,47.4485,-122.175,1340,8808,1,0,11.620636468747556,0,0,0,0,0
43,488000.0,3,2.5,3160,13603,0.0,0.0,3,8,2003,98019,47.7443,-121.977,3050,9232,0,0,13.804488456494678,0,1,0,0,0
44,210490.0,3,1.0,990,8528,0.0,0.0,3,6,1966,98023,47.3066,-122.371,1228,8840,0,0,22.728501252122175,0,0,0,0,0
45,785000.0,4,2.5,2290,13416,0.0,0.0,4,9,1981,98007,47.6194,-122.151,2680,13685,0,0,2.479024877989058,0,1,0,0,0
46,450000.0,3,2.0,1250,5963,0.0,0.0,4,7,1953,98115,47.6796,-122.301,970,5100,0,0,6.324892443984784,0,0,0,0,0
48,228000.0,3,1.0,1190,9199,0.0,0.0,3,7,1955,98148,47.4258,-122.322,1190,9364,0,0,14.221141999532923,0,0,0,0,0
49,345000.0,5,2.5,3150,9134,0.0,0.0,4,8,1966,98056,47.4934,-122.189,1990,9133,1,0,8.468388392065789,0,0,0,0,0
50,600000.0,3,2.0,1410,4080,0.0,0.0,4,7,1950,98117,47.6808,-122.384,1410,4080,1,0,9.517664643249958,0,0,0,0,0
51,585000.0,2,2.0,1980,8550,0.0,0.0,3,7,1981,98117,47.6989,-122.369,1480,6738,1,0,9.601468567955592,0,0,0,0,0
52,920000.0,5,2.5,2730,6000,0.0,0.0,3,8,1927,98105,47.6571,-122.281,2730,6000,1,0,4.595660407207089,1,0,0,0,0
53,885000.0,4,2.5,2830,5000,0.0,0.0,3,9,1995,98105,47.6597,-122.29,1950,5000,0,0,5.036467619633597,0,1,0,0,0
54,292500.0,4,2.5,2250,4495,0.0,0.0,3,7,2008,98042,47.3663,-122.114,2250,4500,0,0,17.725830398164657,0,1,0,0,0
55,301000.0,3,2.5,2420,4750,0.0,0.0,3,8,2003,98042,47.3663,-122.122,2690,4750,0,0,17.641106923611556,0,1,0,0,0
56,951000.0,5,3.5,3250,14342,0.0,4.0,4,8,1968,98008,47.588,-122.116,2960,11044,0,0,4.516741495670718,0,1,0,0,0
57,430000.0,4,3.0,1850,9976,0.0,0.0,3,8,1991,98059,47.5059,-122.149,2270,8542,0,0,7.99712668336812,0,1,0,0,0
58,650000.0,3,2.5,2150,21235,0.0,3.0,4,8,1959,98166,47.4336,-122.339,2570,18900,1,0,14.062866504532947,0,0,0,0,0
59,289000.0,3,2.0,1260,8400,0.0,0.0,3,7,1954,98148,47.4366,-122.335,1290,8750,0,0,13.794049459778527,0,0,0,0,0
60,505000.0,3,2.0,2519,8690,0.0,0.0,5,8,1973,98166,47.4428,-122.344,2500,9500,0,0,13.6078391343913,0,1,0,0,0
61,549000.0,3,2.0,1540,1044,0.0,0.0,3,8,2014,98115,47.6765,-122.32,1580,3090,0,0,6.850634647076455,0,0,0,1,0
62,425000.0,3,2.5,1660,6000,0.0,0.0,3,7,1979,98122,47.6113,-122.297,1440,4080,1,0,4.345403965434954,0,0,0,0,0
63,317625.0,3,3.0,2770,3809,0.0,0.0,5,7,1925,98144,47.5747,-122.304,1440,4000,1,0,5.450802875575435,1,0,0,0,0
65,287000.0,4,2.5,2240,4648,0.0,0.0,3,7,2005,98001,47.3378,-122.257,2221,4557,0,0,19.350124602150277,0,1,0,0,0
66,204000.0,3,1.0,1000,12070,0.0,0.0,4,7,1968,98042,47.3621,-122.11,1010,12635,0,0,18.05238908441145,0,0,0,0,0
69,325000.0,3,2.0,1260,5612,0.0,0.0,4,7,1972,98034,47.7362,-122.179,1640,4745,0,0,8.416351261347433,0,0,0,0,0
70,571000.0,4,2.0,2750,7807,0.0,0.0,5,7,1916,98125,47.7168,-122.287,1510,7807,1,0,7.99276109730152,1,0,0,0,0
71,360000.0,4,2.5,2380,5000,0.0,0.0,3,8,2005,98038,47.3608,-122.036,2420,5000,0,0,19.26864847627646,0,1,0,0,0
72,349000.0,3,2.0,1790,50529,0.0,0.0,5,7,1965,98042,47.3511,-122.073,1940,50529,1,0,19.267255134127034,0,0,0,0,0
74,380000.0,4,2.0,1760,7300,0.0,0.0,3,7,1956,98008,47.6034,-122.125,1680,7500,1,0,3.7708383142603137,0,0,0,0,0
75,480000.0,3,1.0,1040,5060,0.0,0.0,3,7,1941,98116,47.5636,-122.394,890,5060,0,0,9.557206825304426,0,0,0,0,0
76,410000.0,3,1.0,1410,5060,0.0,0.0,4,7,1956,98133,47.7073,-122.34,1130,5693,1,0,8.960329738943722,0,0,0,0,0
78,390000.0,3,2.5,2350,5100,0.0,0.0,3,8,2003,98038,47.3512,-122.008,2350,5363,0,0,20.427767020963156,0,1,0,0,0
79,360000.0,4,2.5,1900,5889,0.0,0.0,3,7,1992,98038,47.349,-122.031,1870,6405,0,0,20.109108489469826,0,1,0,0,0
80,355000.0,2,1.0,2020,6720,0.0,0.0,3,7,1948,98118,47.5474,-122.291,1720,6720,1,0,6.216371122752079,0,0,0,0,0
81,356000.0,3,1.5,1680,8712,0.0,0.0,3,8,1964,98059,47.4811,-122.149,1850,8797,0,0,9.636223387975665,0,0,0,0,0
82,315000.0,3,1.0,960,6634,0.0,0.0,3,6,1952,98125,47.7264,-122.31,1570,7203,0,0,9.111526678709408,0,0,0,0,0
83,940000.0,3,1.5,2140,3600,0.0,0.0,3,9,1925,98119,47.6337,-122.365,2020,4800,1,0,7.605263233740826,0,1,0,0,0
84,305000.0,5,2.5,2660,8400,0.0,0.0,5,7,1961,98092,47.2909,-122.189,1590,8165,0,0,22.442006917767714,1,0,0,0,0
85,461000.0,3,3.5,2770,6278,0.0,0.0,3,9,2006,98056,47.5228,-122.199,1900,7349,1,0,6.412517690541676,0,1,0,0,0
86,215000.0,2,2.5,1610,2040,0.0,0.0,4,7,1979,98056,47.518,-122.194,1950,2025,0,0,6.755910282924805,0,1,0,0,0
87,335000.0,2,2.0,1030,1066,0.0,0.0,3,7,2006,98136,47.5394,-122.387,1030,1106,1,0,10.025011699357385,0,1,0,0,0
90,153000.0,3,1.0,1200,10500,0.0,0.0,3,7,1962,98023,47.322,-122.351,1350,10500,0,0,21.414146333104327,0,0,0,0,0
91,430000.0,3,1.5,1580,5000,0.0,0.0,3,8,1939,98117,47.687,-122.386,1570,4500,1,0,9.807792850342532,0,0,0,0,0
92,905000.0,4,2.5,3300,10250,0.0,0.0,3,7,1946,98040,47.5873,-122.249,1950,6045,1,1,2.867188103904668,0,0,0,0,0
93,247500.0,3,2.0,1960,15681,0.0,0.0,3,7,1967,98032,47.3576,-122.277,1750,15616,0,0,18.14633634875021,0,0,0,0,0
94,199000.0,4,1.5,1160,6400,0.0,0.0,4,7,1975,98023,47.3036,-122.378,1160,6400,0,0,23.03675400972438,0,0,0,0,0
95,314000.0,3,2.0,1810,41800,0.0,0.0,5,7,1980,98038,47.4109,-121.958,1650,135036,1,0,18.211122225739675,0,0,0,0,0
97,850830.0,3,2.5,2070,13241,0.0,0.0,5,9,1910,98102,47.6415,-122.315,2200,4500,1,0,5.474326973573753,1,0,0,0,0
98,555000.0,3,2.0,1980,3478,0.0,0.0,4,7,1929,98117,47.6775,-122.372,1610,3478,1,0,8.918182252042042,1,0,0,0,0
99,699950.0,3,2.5,2190,107593,0.0,0.0,4,8,1983,98077,47.7731,-122.08,2570,47777,0,0,12.317054038350392,0,1,0,0,0
100,1090000.0,3,2.5,2920,8113,0.0,0.0,3,8,1950,98004,47.5814,-122.196,2370,8113,0,1,2.3882196497760444,0,1,0,0,0
101,290000.0,3,1.0,1210,33919,0.0,0.0,3,7,1954,98058,47.4375,-122.184,1640,14910,0,0,12.337138442845392,0,0,0,0,0
102,460000.0,3,1.0,1670,4005,0.0,0.0,4,7,1939,98117,47.6878,-122.38,1240,4005,1,0,9.59610145922944,1,0,0,0,0
103,188500.0,2,2.0,1240,2493,0.0,0.0,4,8,1985,98198,47.3813,-122.322,1270,4966,0,0,17.097968287043688,0,0,0,0,0
105,470000.0,5,2.0,2030,12342,0.0,0.0,4,7,1942,98052,47.6417,-122.109,2500,9433,0,0,4.7749258463421445,0,1,0,0,0
106,597750.0,4,2.5,2310,9624,0.0,0.0,3,8,1984,98027,47.5386,-122.053,1940,9636,0,0,8.817638566590109,0,1,0,0,0
107,570000.0,3,2.0,1260,3328,0.0,0.0,5,6,1905,98103,47.6823,-122.349,1380,3536,1,0,8.177559708331602,0,0,0,0,0
108,272500.0,3,2.0,1540,12600,0.0,0.0,4,7,1980,98038,47.3624,-122.031,1540,11656,0,0,19.26432762556222,0,0,0,0,0
109,329950.0,3,2.0,2080,5969,0.0,2.0,3,7,1971,98108,47.5474,-122.295,2090,5500,1,0,6.339655447482465,0,0,0,0,0
110,480000.0,4,2.5,3230,16171,0.0,0.0,3,9,2001,98001,47.3183,-122.253,2640,8517,1,0,20.665561960594864,0,1,0,0,0
111,518500.0,3,3.5,1590,1102,0.0,0.0,3,8,2010,98103,47.6824,-122.347,1620,3166,0,0,8.104785574623138,0,0,0,1,0
112,205425.0,2,1.0,880,6780,0.0,0.0,4,6,1945,98178,47.5009,-122.248,1190,6780,0,0,8.183853379282333,0,0,0,0,0
113,171800.0,4,2.0,1570,9600,0.0,0.0,3,6,1950,98168,47.4965,-122.303,1880,9000,0,0,9.434214646706055,0,0,0,0,0
114,535000.0,4,1.0,1610,2982,0.0,0.0,4,7,1925,98144,47.587,-122.294,1610,4040,0,0,4.6371982073552065,1,0,0,0,0
115,660000.0,3,2.5,2400,6474,0.0,2.0,3,8,1964,98177,47.7728,-122.386,2340,10856,1,0,13.774988967710534,0,0,0,0,0
116,391500.0,3,2.0,1450,9132,0.0,0.0,3,7,1987,98034,47.7288,-122.226,1580,9104,0,0,7.891975156998988,0,0,0,0,0
117,395000.0,2,1.0,770,6000,0.0,0.0,3,6,1953,98117,47.6999,-122.364,1710,6000,0,0,9.458670983150581,0,0,0,0,0
118,445000.0,4,2.0,2100,4400,0.0,0.0,5,7,1924,98118,47.5299,-122.266,1850,4400,1,0,6.587493444193005,1,0,0,0,0
119,770000.0,3,2.5,2910,10204,0.0,0.0,3,9,1990,98052,47.6897,-122.098,2700,13992,0,0,7.1099360883886655,0,1,0,0,0
121,445000.0,3,2.5,2100,8201,0.0,2.0,3,8,1967,98178,47.5091,-122.244,2660,8712,1,0,7.588665979938921,0,0,0,0,0
122,260000.0,4,2.5,2160,8811,0.0,0.0,3,8,1978,98023,47.3129,-122.39,2090,8400,1,0,22.645609577007274,0,0,0,0,0
123,822500.0,5,3.5,2320,4960,0.0,0.0,5,7,1926,98103,47.6763,-122.352,1700,4960,1,0,8.070399670021287,0,1,0,0,0
124,430000.0,4,2.5,2070,4310,0.0,0.0,3,7,2004,98065,47.5319,-121.85,1970,3748,0,0,17.480468381499804,0,1,0,0,0
126,660500.0,4,2.5,2010,9603,0.0,0.0,3,8,1986,98027,47.5343,-122.054,2060,9793,1,0,8.963741992464955,0,0,0,0,0
127,784000.0,3,3.5,3950,111078,0.0,0.0,3,9,1989,98052,47.697,-122.072,2480,88500,1,0,8.328518171679997,1,0,0,0,0
128,453246.0,3,2.5,2010,2287,0.0,0.0,3,8,2014,98029,47.5517,-121.998,1690,1662,1,0,10.562222614431246,0,1,0,0,0
129,675000.0,4,3.5,2140,2278,0.0,0.0,3,9,2005,98107,47.6734,-122.38,1540,2285,0,0,9.119214974027887,0,0,0,1,0
130,199000.0,3,2.0,1320,17390,0.0,0.0,4,7,1956,98003,47.3257,-122.296,1550,19265,0,0,20.48327920480347,0,0,0,0,0
131,220000.0,4,2.0,2020,7840,0.0,0.0,3,7,1968,98003,47.3309,-122.299,1750,8140,1,0,20.162490058906037,0,0,0,0,0
132,452000.0,4,2.5,2590,10002,0.0,0.0,4,8,1968,98028,47.7689,-122.266,1550,10436,1,0,10.98180256473696,0,0,0,0,0
133,382500.0,2,1.0,1190,4440,0.0,0.0,3,6,1981,98125,47.7135,-122.287,1060,5715,0,0,7.794036477120805,0,0,0,0,0
134,519950.0,3,2.5,1170,1249,0.0,0.0,3,8,2014,98107,47.6722,-122.381,1350,1310,0,0,9.125293419929971,0,0,0,1,0
135,665000.0,2,1.0,1110,3200,0.0,0.0,3,7,1925,98119,47.6338,-122.358,1170,3600,0,0,7.285134289802964,0,0,0,0,0
136,527700.0,5,2.5,2820,9375,0.0,0.0,4,8,1968,98006,47.5707,-122.128,2820,9375,1,0,4.702890950216581,0,0,0,0,0
137,205000.0,3,1.0,1610,8579,0.0,0.0,4,7,1962,98058,47.4563,-122.171,1610,8579,1,0,11.109766572849495,0,0,0,0,0
138,420000.0,3,1.0,1060,8097,0.0,0.0,4,7,1923,98133,47.7144,-122.351,1560,7940,1,0,9.668842705002696,0,0,0,0,0
139,500000.0,4,2.5,2030,8517,0.0,0.0,4,8,1961,98006,47.5495,-122.174,2230,8824,1,0,4.771904881985872,0,0,0,0,0
140,921500.0,4,2.5,3670,315374,0.0,0.0,4,9,1994,98077,47.7421,-122.026,2840,87991,0,0,12.039864081506817,0,1,0,0,0
141,890000.0,4,1.0,2550,4000,0.0,0.0,3,8,1905,98109,47.6354,-122.353,2200,4000,1,0,7.076412276994628,0,1,0,0,0
142,430000.0,2,2.5,2420,60984,0.0,0.0,3,7,2007,98027,47.5262,-121.943,1940,193842,0,0,13.640020070551712,0,1,0,0,0
143,258000.0,5,2.0,2260,12500,0.0,0.0,4,8,1960,98032,47.3887,-122.286,1360,18000,1,0,16.13529271452389,0,0,0,0,0
144,511000.0,3,1.0,1430,3455,0.0,0.0,3,7,1947,98103,47.6873,-122.336,1450,4599,1,0,7.897374441306922,0,0,0,0,0
145,532170.0,3,2.0,1360,3090,0.0,0.0,3,8,1990,98103,47.6838,-122.353,1500,3090,0,0,8.389700031483459,0,1,0,0,0
146,560000.0,3,1.0,1110,5000,0.0,0.0,3,7,1947,98107,47.655,-122.359,1420,5000,0,0,7.717647503314614,1,0,0,0,0
147,282950.0,3,1.0,1250,8200,0.0,0.0,4,7,1954,98003,47.3255,-122.304,1680,8633,0,0,20.578430514798224,0,0,0,0,0
150,215000.0,3,1.0,1180,7669,0.0,0.0,4,7,1967,98058,47.4479,-122.176,1190,7669,0,0,11.656509256812301,0,0,0,0,0
151,650000.0,5,3.5,3960,25245,0.0,0.0,3,9,1996,98056,47.525,-122.172,2640,13675,1,0,6.4309234433098865,0,1,0,0,0
152,320000.0,4,3.0,2640,7500,0.0,0.0,3,8,1967,98023,47.3135,-122.369,1980,7875,1,0,22.248619743322994,0,0,0,0,0
154,320000.0,4,2.0,1760,11180,0.0,0.0,4,8,1968,98059,47.4715,-122.118,1730,11180,0,0,10.729349004698431,0,0,0,0,0
155,255000.0,5,2.5,2060,8632,0.0,0.0,3,7,1962,98146,47.4877,-122.335,1010,11680,1,0,10.742285746807953,0,0,0,0,0
156,438000.0,3,2.0,1780,9660,0.0,0.0,3,7,1962,98034,47.7171,-122.193,1200,9660,0,0,7.034811030460507,0,0,0,0,0
158,441000.0,3,3.0,1910,7280,0.0,0.0,3,7,1979,98034,47.7319,-122.224,1710,8152,1,0,8.093118708269955,0,0,0,0,0
159,420000.0,3,2.0,2020,38332,0.0,0.0,4,7,1975,98027,47.4582,-122.023,2110,36590,1,0,13.762885138059872,0,0,0,0,0
160,370000.0,3,2.0,1580,7000,0.0,0.0,3,7,1976,98034,47.7209,-122.168,1640,7500,1,0,7.4684028910948825,0,0,0,0,0
162,807100.0,4,2.5,2680,4499,0.0,0.0,3,9,1999,98006,47.565,-122.125,2920,4500,0,0,5.0718010285086885,0,1,0,0,0
163,653000.0,3,2.5,2680,9750,0.0,0.0,4,8,1979,98034,47.7028,-122.231,2480,8750,1,0,6.158716115252075,0,0,0,0,0
164,371500.0,3,2.0,1370,8336,0.0,0.0,5,7,1964,98133,47.7458,-122.331,1770,7288,0,0,10.767326500591079,0,0,0,0,0
165,284000.0,3,2.0,1560,21000,0.0,0.0,3,7,1954,98166,47.4776,-122.337,1070,7920,0,0,11.374046287845573,0,0,0,0,0
166,272000.0,3,2.0,2160,7140,0.0,0.0,4,7,1978,98023,47.3026,-122.374,1930,7350,1,0,23.036325200628713,0,0,0,0,0
167,313000.0,3,1.5,1340,7912,0.0,0.0,3,7,1955,98133,47.7658,-122.339,1480,7940,0,0,12.134252273858614,1,0,0,0,0
169,673000.0,4,2.5,2590,8190,0.0,0.0,4,8,1980,98006,47.5619,-122.125,2260,8335,0,0,5.221688580400763,0,1,0,0,0
170,425000.0,3,2.5,1120,1100,0.0,0.0,3,8,2008,98122,47.6106,-122.31,1590,1795,1,0,4.952839200688619,0,1,0,0,0
171,399950.0,5,3.0,1970,5400,0.0,0.0,3,7,1986,98144,47.5868,-122.308,1280,2150,1,0,5.240073318562251,0,0,0,0,0
172,385000.0,3,1.0,1220,4800,0.0,0.0,3,6,1901,98122,47.6101,-122.307,1200,4800,0,0,4.816048649688523,0,0,0,0,0
174,330000.0,2,1.0,1350,8220,0.0,0.0,3,7,1949,98177,47.7224,-122.358,1540,8280,1,0,10.290729127969144,0,0,0,0,0
175,260000.0,3,2.5,1670,5797,0.0,0.0,3,7,1988,98030,47.3505,-122.179,1670,6183,0,0,18.350141011046322,0,1,0,0,0
176,470000.0,4,3.0,2380,5125,0.0,0.0,4,7,1925,98126,47.5384,-122.376,1410,5375,1,0,9.630501838455727,1,0,0,0,0
177,163500.0,2,1.5,1050,3419,0.0,0.0,3,7,1996,98038,47.3848,-122.039,1050,3417,0,0,17.70456612359077,0,1,0,0,0
178,835000.0,4,3.0,3130,13412,0.0,0.0,3,9,1993,98052,47.6993,-122.102,2260,9984,1,0,7.482151390855623,0,1,0,0,0
180,269000.0,4,2.0,1490,10000,0.0,0.0,4,8,1969,98023,47.3099,-122.379,2190,8910,1,0,22.646662611851077,0,0,0,0,0
181,560000.0,3,2.5,1900,8744,0.0,0.0,3,8,1987,98074,47.62,-122.043,2030,8744,0,0,7.500995186141033,0,1,0,0,0
182,585188.0,3,2.5,2230,10026,0.0,0.0,3,8,1975,98052,47.6647,-122.153,2230,9340,1,0,4.141479930009454,0,0,0,0,0
183,305000.0,3,2.0,1650,9480,0.0,0.0,3,7,1977,98034,47.726000000000006,-122.191,1540,8400,1,0,7.655007030877883,0,0,0,0,0
184,166950.0,3,1.0,1190,8820,0.0,0.0,3,6,1959,98058,47.4616,-122.184,1230,7980,0,0,10.677436735397173,0,0,0,0,0
185,799000.0,3,2.5,2140,9897,0.0,0.0,4,8,1959,98040,47.5505,-122.219,2680,10083,0,0,4.5491432393514994,0,0,0,0,0
186,400000.0,3,2.5,2180,7508,0.0,0.0,4,7,1962,98133,47.7606,-122.336,1900,7818,1,0,11.754980529361623,0,0,0,0,0
187,230000.0,3,1.0,1060,10228,0.0,0.0,3,7,1948,98155,47.7481,-122.3,1570,10228,0,0,10.190686284758524,0,0,0,0,0
189,423000.0,4,2.0,1970,6480,0.0,0.0,5,7,1920,98108,47.5511,-122.312,1500,6480,1,0,6.723210606773095,1,0,0,0,0
190,465000.0,3,2.5,2150,4084,0.0,0.0,3,8,2007,98126,47.5488,-122.372,1750,2385,0,0,9.090321031805535,0,1,0,0,0
191,440000.0,3,2.5,1910,66211,0.0,0.0,3,7,1997,98024,47.5385,-121.911,2330,67268,0,0,14.65427673247087,0,1,0,0,0
192,385000.0,3,2.0,1350,155073,0.0,0.0,4,7,1969,98038,47.4058,-121.994,1560,50965,0,0,17.493009103502743,0,0,0,0,0
193,210000.0,3,1.0,860,11725,0.0,0.0,4,6,1943,98056,47.5093,-122.184,1300,9514,0,0,7.399690028296892,0,0,0,0,0
194,297000.0,3,2.5,1940,14952,0.0,0.0,3,8,1994,98042,47.3777,-122.165,2030,10450,0,0,16.53399607030487,0,1,0,0,0
195,470000.0,3,1.0,1010,5000,0.0,0.0,3,7,1952,98107,47.675,-122.394,1680,5000,0,0,9.755091438336645,0,0,0,0,0
196,226500.0,3,1.5,1300,7370,0.0,0.0,4,7,1976,98023,47.3025,-122.37,1430,7500,1,0,22.97905245832539,0,0,0,0,0
197,274250.0,3,1.0,910,8450,0.0,0.0,4,6,1962,98059,47.4787,-122.158,1400,8040,0,0,9.694923531811193,0,0,0,0,0
198,677900.0,3,2.5,2440,4587,0.0,0.0,3,8,2010,98052,47.7073,-122.114,2750,4587,0,0,7.595821519005569,0,1,0,0,0
199,425000.0,3,1.0,1010,5864,0.0,0.0,3,7,1915,98116,47.5733,-122.381,1290,5000,0,0,8.752191239452802,0,0,0,0,0
200,180250.0,2,1.0,900,9600,0.0,0.0,3,6,1941,98166,47.4604,-122.339,1250,14280,0,0,12.434436390916808,0,0,0,0,0
202,320000.0,4,2.5,1550,7579,0.0,0.0,3,8,1993,98038,47.354,-122.047,1630,6397,0,0,19.500228659491608,0,1,0,0,0
203,625504.0,3,2.5,1270,1566,0.0,0.0,3,8,2014,98105,47.6647,-122.284,1160,1327,1,0,5.042895687223525,0,1,0,0,0
204,592500.0,4,2.5,2240,12032,0.0,0.0,3,9,1983,98074,47.6143,-122.017,2520,12368,0,0,8.706517866916682,0,0,0,0,0
205,465000.0,3,2.5,2714,17936,0.0,0.0,3,9,2005,98001,47.3185,-122.275,2590,18386,0,0,20.790988048400834,0,1,0,0,0
206,477000.0,4,3.0,1720,6270,0.0,0.0,3,8,1978,98118,47.5458,-122.268,2130,8700,0,0,5.669654616147977,0,1,0,0,0
207,280000.0,2,1.0,850,16400,0.0,0.0,3,6,1923,98168,47.4889,-122.299,1100,14459,0,0,9.809843809647692,0,0,0,0,0
